id,key,value,type
28214585,highway,residential,regular
28214587,lit,yes,regular
28214587,foot,no,regular
28214587,name,Calle Oslo,regular
28214587,lanes,2,regular
28214587,oneway,yes,regular
28214587,highway,residential,regular
28214587,surface,asphalt,regular
28214589,name,Avenida de Europa,regular
28214589,lanes,2,regular
28214589,oneway,yes,regular
28214589,highway,tertiary,regular
28214589,surface,asphalt,regular
28214589,maxspeed,50,regular
28216153,name,Calle Berna,regular
28216153,lanes,4,regular
28216153,oneway,no,regular
28216153,highway,residential,regular
28216153,forward,2,lanes
28216153,backward,2,lanes
28216156,foot,no,regular
28216156,name,Calle Copenhague,regular
28216156,highway,residential,regular
28216192,name,Calle Copenhague,regular
28216192,highway,residential,regular
28216197,lanes,1,regular
28216197,oneway,yes,regular
28216197,highway,trunk_link,regular
28216197,surface,asphalt,regular
28216197,maxspeed,40,regular
28216197,destination,Alcorcón oeste; zona comercial,regular
28216203,name,Calle Bruselas,regular
28216203,oneway,yes,regular
28216203,highway,residential,regular
28669231,lanes,2,regular
28669231,oneway,yes,regular
28669231,highway,trunk_link,regular
28669231,destination,Móstoles M-506,regular
28669238,foot,yes,regular
28669238,name,Ronda de las Naciones Unidas,regular
28669238,lanes,2,regular
28669238,source,PNOA,regular
28669238,highway,trunk_link,regular
28669238,service,driveway,regular
28669238,junction,roundabout,regular
28669238,date,20101123,source
28669249,highway,unclassified,regular
28669250,layer,-1,regular
28669250,tunnel,yes,regular
28669250,highway,unclassified,regular
28669250,created_by,Potlatch 0.10f,regular
28669251,name,Calle de las Hayas,regular
28669251,oneway,yes,regular
28669251,highway,residential,regular
28669255,lanes,1,regular
28669255,oneway,yes,regular
28669255,source,PNOA,regular
28669255,highway,motorway_link,regular
28669255,maxspeed,70,regular
28669255,destination,Alcorcón,regular
28669255,date,2009,source
28669258,name,Calle Cid Campeador,regular
28669258,oneway,no,regular
28669258,highway,residential,regular
28669258,sidewalk,both,regular
28669258,forward,1,lanes
28669258,backward,1,lanes
28669259,name,Calle Rubens,regular
28669259,lanes,2,regular
28669259,highway,residential,regular
28669261,name,Avenida de Portugal,regular
28669261,lanes,3,regular
28669261,highway,primary,regular
28669261,junction,roundabout,regular
28669261,maxspeed,40,regular
28682334,highway,track,regular
28682334,created_by,Potlatch 0.10f,regular
28682335,layer,-1,regular
28682335,tunnel,yes,regular
28682335,highway,track,regular
28682335,created_by,Potlatch 0.10f,regular
28682343,highway,track,regular
28682343,surface,dirt,regular
28682343,tracktype,grade5,regular
28682385,bicycle,yes,regular
28682385,highway,track,regular
28682385,surface,dirt,regular
28682387,highway,service,regular
28682387,surface,paved,regular
28682388,layer,1,regular
28682388,bridge,yes,regular
28682388,highway,service,regular
28682395,lanes,2,regular
28682395,oneway,yes,regular
28682395,highway,trunk_link,regular
28682400,lanes,2,regular
28682400,highway,trunk_link,regular
28682400,junction,roundabout,regular
28682400,maxspeed,40,regular
28682405,name,Calle Simón Hernández,regular
28682405,lanes,2,regular
28682405,oneway,yes,regular
28682405,highway,tertiary,regular
28682418,name,Avenida de la O.N.U.,regular
28682418,lanes,3,regular
28682418,highway,tertiary,regular
28682418,junction,roundabout,regular
28682418,maxspeed,30,regular
28682435,lanes,2,regular
28682435,highway,tertiary,regular
28682435,junction,roundabout,regular
28682507,highway,track,regular
28685132,name,Calle de América,regular
28685132,oneway,yes,regular
28685132,highway,residential,regular
28685132,sidewalk,both,regular
28685133,name,Calle del Cristo,regular
28685133,lanes,2,regular
28685133,oneway,yes,regular
28685133,highway,residential,regular
28685133,maxspeed,40,regular
28685133,right,shared_lane,cycleway
28685135,name,Calle Mallorca,regular
28685135,oneway,no,regular
28685135,highway,residential,regular
28685137,name,Calle de Montecarlo,regular
28685137,oneway,yes,regular
28685137,highway,residential,regular
28685139,lit,yes,regular
28685139,name,Calle Berardo Martín,regular
28685139,lanes,1,regular
28685139,oneway,yes,regular
28685139,highway,residential,regular
28685139,surface,asphalt,regular
28685142,name,Calle de Ávila,regular
28685142,oneway,yes,regular
28685142,highway,residential,regular
28685143,name,Calle de Ávila,regular
28685143,highway,residential,regular
28685174,name,Calle Pintor Sorolla,regular
28685174,lanes,2,regular
28685174,highway,residential,regular
28685204,name,Calle Pintor Salvador Dalí,regular
28685204,lanes,1,regular
28685204,oneway,yes,regular
28685204,highway,residential,regular
28685253,name,Calle de Alonso Cano,regular
28685253,lanes,1,regular
28685253,oneway,yes,regular
28685253,highway,residential,regular
28685253,surface,asphalt,regular
28685257,name,Calle Juan de Juanes,regular
